Presence of JS,Presence of NS,Presence of internal JS,Number of JS,Number of NS,Number of external JS,Number of internal JS,Presence of image,Presence of iframe,Presence of links,Number of image,Number of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,Presence of World Traffic rank,Presence of Country Traffic rank,World Traffic rank,Country Traffic rank,presence of form,No of form,probability0,probability1,Output
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,32,3,0,2,0,0,0,0,5,2,2,6001,2145,0,0,0,2,1
1,1,1,3,1,0,3,1,0,1,1,0,0,2,0,0,0,28,3,0,1,0,0,0,0,1,2,2,2677,1205,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,47,3,0,2,0,0,0,0,3,2,2,6001,2145,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,3,0,0,3,1,0,1,2,0,0,16,0,0,0,67,7,0,2,0,0,0,0,4,0,0,0,0,1,1,0,2,1
1,1,1,72,2,0,72,1,1,1,3,3,0,29,0,0,0,23,2,0,1,0,0,0,0,0,2,0,4198103,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,43,3,0,3,1,0,0,0,4,2,2,6001,2145,0,0,0,2,1
1,0,1,5,0,0,5,0,0,1,0,0,0,6,0,0,0,30,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,7,0,0,7,1,0,1,30,0,0,7,0,0,0,18,3,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,143,6,0,1,5,8,1,0,29,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1
