Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,No of form,Output
2,0,0,2,5,0,0,6,0,0,0,32,3,0,2,0,0,0,0,5,6001,2145,0,1
3,1,0,3,1,0,0,2,0,0,0,28,3,0,1,0,0,0,0,1,2677,1205,0,1
2,0,0,2,5,0,0,6,0,0,0,47,3,0,2,0,0,0,0,3,6001,2145,0,1
0,0,0,0,0,0,0,0,0,0,0,22,3,0,2,0,0,0,0,0,0,0,0,1
3,0,0,3,2,0,0,16,0,0,0,67,7,0,2,0,0,0,0,4,0,0,1,1
72,2,0,72,3,3,0,29,0,0,0,23,2,0,1,0,0,0,0,0,4198103,0,1,1
2,0,0,2,5,0,0,6,0,0,0,43,3,0,3,1,0,0,0,4,6001,2145,0,1
5,0,0,5,0,0,0,6,0,0,0,30,3,0,1,0,0,0,0,0,0,0,0,1
7,0,0,7,30,0,0,7,0,0,0,18,3,0,2,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,143,6,0,1,5,8,1,0,29,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,65,5,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,140,9,0,2,0,0,0,0,0,0,0,0,1
10,0,0,10,13,0,0,15,0,0,0,32,3,0,1,0,0,0,0,0,0,0,3,1
7,0,0,7,0,0,0,0,0,0,0,61,4,0,3,1,0,0,0,3,6001,2145,1,1
2,0,0,2,5,0,0,6,0,0,0,79,3,0,3,4,0,0,0,3,6001,2145,0,1
2,0,0,2,5,0,0,6,0,0,0,47,3,0,3,0,0,0,0,4,6001,2145,0,1
0,0,0,0,0,0,0,0,0,0,0,40,5,0,1,0,0,0,0,4,0,0,0,1
2,0,0,2,5,0,0,4,0,0,0,34,3,0,2,0,0,0,0,7,6001,2145,0,1
0,0,0,0,0,0,0,0,0,0,0,76,7,0,1,0,0,0,0,17,0,0,0,1
6,0,0,6,8,0,0,76,0,0,0,229,5,1,2,0,1,3,2,108,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,64,6,0,2,0,0,0,0,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,1,0,0,0,0,0,0,0,1
2,0,0,2,0,0,0,0,0,0,0,40,4,0,2,0,0,0,0,0,0,0,0,1
2,0,0,2,0,0,0,0,0,0,0,39,5,0,2,0,0,0,0,1,0,0,1,1
46,0,0,46,10,1,0,88,0,0,0,32,4,0,2,0,0,0,0,0,2256644,13134,4,1
5,1,0,5,5,0,0,15,0,0,0,72,5,0,1,0,0,0,0,16,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,37,3,0,2,0,0,0,0,5,0,0,0,1
13,0,0,13,7,0,0,2,0,0,0,39,3,0,2,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,0,17,3,0,1,0,0,0,0,0,987236,0,0,1
2,0,0,2,5,0,0,6,0,0,0,44,3,0,3,1,0,0,0,3,6001,2145,0,1
0,0,0,0,0,0,0,0,0,0,0,33,3,0,2,0,0,0,0,7,96059,60458,0,1
7,0,0,7,0,0,0,1,0,0,0,109,4,0,1,2,0,0,0,0,0,0,0,1
8,0,0,8,28,1,0,5,0,0,0,22,3,0,1,0,0,0,0,0,0,0,2,1
