Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,32,3,0,2,0,0,0,0,0,5,6001,2145,0.45165742948669996,0.5483425705132994,0,0,1
1,1,0,1,1,0,0,1,3,1,0,3,1,0,0,2,0,0,0,0,28,3,0,1,0,0,0,0,0,1,2677,1205,0.46160003195371563,0.5383999680462813,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,47,3,0,2,0,0,0,0,0,3,6001,2145,0.40207913418177543,0.5979208658182149,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,2,0,0,0,0,0,0,0,0,0.46437107554294316,0.5356289244570589,0,0,1
1,0,0,1,1,0,0,1,3,0,0,3,2,0,0,16,0,0,0,0,67,7,0,2,0,0,0,0,0,4,0,0,0.3185701441771632,0.6814298558228415,1,1,1
1,1,0,1,1,1,0,1,72,2,0,72,3,3,0,29,0,0,0,0,23,2,0,1,0,0,0,0,0,0,4198103,0,1.0075625625795135e-05,0.9999899243743738,1,1,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,43,3,0,3,1,0,0,0,0,4,6001,2145,0.4158250001472296,0.5841749998527844,0,0,1
1,0,0,1,0,0,0,1,5,0,0,5,0,0,0,6,0,0,0,0,30,3,0,1,0,0,0,0,0,0,0,0,0.4617131561547478,0.5382868438452484,0,0,1
1,0,0,1,1,0,0,1,7,0,0,7,30,0,0,7,0,0,0,0,18,3,0,2,0,0,0,0,0,2,0,0,0.538286868642716,0.4617131313572716,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,143,6,0,1,5,8,1,0,0,29,0,0,0.036918401866792884,0.9630815981332059,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,0,1,0,0,0,1,0,0,0,0,0.3130350156643498,0.6869649843356601,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,9,0,2,0,0,0,0,0,0,0,0,0.045738733543082916,0.9542612664569132,0,0,1
1,0,0,1,1,0,0,1,10,0,0,10,13,0,0,15,0,0,0,0,32,3,0,1,0,0,0,0,0,0,0,0,0.49345335040271315,0.5065466495972913,1,3,1
