Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
1,0,0,1,1,0,0,1,14,0,0,14,39,0,0,97,0,0,0,0,14,2,0,1,0,0,0,0,0,0,3802,406,0
1,1,0,1,1,0,0,1,61,2,0,61,71,0,0,275,0,0,0,0,15,2,0,1,0,0,0,0,0,0,79,80,0
1,1,0,1,1,0,0,1,13,2,0,13,9,0,0,107,0,0,0,0,23,2,0,1,0,0,0,0,0,0,1581,1571,0
1,0,0,1,1,0,0,1,20,0,0,20,16,0,0,145,0,0,0,0,22,2,0,1,0,0,0,0,0,0,45,35,0
1,0,0,1,1,0,0,1,6,0,0,6,1,0,0,28,0,0,0,0,22,2,0,2,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,6,0,0,6,1,0,0,29,0,0,0,0,20,2,0,2,0,0,0,0,0,0,87,5,0
1,1,0,1,1,1,0,1,38,1,0,38,21,2,0,293,0,0,0,0,15,2,0,1,0,0,0,0,0,0,520,463,0
1,1,0,1,1,0,0,1,8,1,0,8,2,0,0,6,0,0,0,0,14,2,0,1,0,0,0,0,0,0,25,2,0
1,1,0,1,1,0,0,1,5,1,0,5,25,0,0,594,0,0,0,0,24,2,0,2,0,0,0,0,0,0,12,8,0
1,0,0,1,0,1,0,1,34,0,0,34,0,1,0,12,0,0,0,0,16,2,0,1,0,0,0,0,0,0,12086,21143,0
1,1,0,1,0,0,0,1,12,1,0,12,0,0,0,337,0,0,0,0,18,2,0,1,0,0,0,0,0,0,220,137,0
1,1,0,1,0,0,0,1,18,1,0,18,0,0,0,1,0,0,0,0,23,2,0,2,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,6,0,0,6,1,0,0,28,0,0,0,0,22,2,0,2,0,0,0,0,0,0,1,1,0
