Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,31,2,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,39,2,1,4,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,83,6,0,2,0,0,0,0,0,22,6283718,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,50,6,0,3,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,61,4,0,3,1,0,0,0,0,3,6202,1817,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,37,4,0,4,1,0,0,0,0,2,0,0,1
1,1,0,1,1,0,0,1,1,1,0,1,7,0,0,33,0,0,0,0,18,3,0,3,0,0,0,0,0,7,0,0,1
1,0,0,1,0,0,0,1,9,0,0,9,0,0,0,8,0,0,0,0,488,22,1,20,4,8,10,9,0,11,115670,13917,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,18,3,0,2,0,0,0,0,0,2,0,0,1
1,0,0,1,1,0,0,0,7,0,0,7,1,0,0,0,0,0,0,0,28,4,0,2,0,0,0,0,0,2,487729,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,38,3,0,2,1,0,0,0,0,3,6202,1817,1
1,1,0,1,1,0,0,1,10,47,0,10,24,0,0,998,0,0,0,0,60,3,0,1,1,0,0,0,0,15,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,41,3,0,2,0,0,0,0,0,3,6202,1817,1
1,0,0,1,1,0,0,1,3,0,0,3,1,0,0,3,0,0,0,0,68,5,0,1,4,0,0,0,0,23,0,0,1
1,0,0,1,1,1,0,1,8,0,0,8,28,1,0,5,0,0,0,0,22,3,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,1,0,0,0,0,79,3,0,3,4,0,0,0,0,3,6202,1817,1
1,1,0,1,1,0,0,1,3,1,0,3,1,0,0,2,0,0,0,0,28,3,0,1,0,0,0,0,0,1,2768,1245,1
0,1,0,0,1,1,0,1,0,2,0,0,32,1,0,154,0,0,0,0,16,2,0,1,0,0,0,0,0,0,0,0,1
