Presence of JS,Presence of NS,Presence of internal JS,Presence of image,Presence of iframe,Presence of links,Number of JS,Number of NS,Number of internal JS,Number of image,Nuber of iframes,Number of links,Number of sms API call,Number of tel API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
1,0,1,1,0,1,2,0,2,5,0,6,0,0,32,3,0,2,0,0,0,0,5,6001,2145,0.4516574294867,0.548342570513299,0,0,1
1,1,1,1,0,1,3,1,3,1,0,2,0,0,28,3,0,1,0,0,0,0,1,2677,1205,0.461600031953716,0.538399968046281,0,0,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,47,3,0,2,0,0,0,0,3,6001,2145,0.402079134181775,0.597920865818215,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,2,0,0,0,0,0,0,0,0.464371075542943,0.535628924457059,0,0,1
1,0,1,1,0,1,3,0,3,2,0,16,0,0,67,7,0,2,0,0,0,0,4,0,0,0.318570144177163,0.681429855822841,1,1,1
1,1,1,1,1,1,72,2,72,3,3,29,0,0,23,2,0,1,0,0,0,0,0,4198103,0,1.00756256257951E-05,0.999989924374374,1,1,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,43,3,0,3,1,0,0,0,4,6001,2145,0.41582500014723,0.584174999852784,0,0,1
1,0,1,0,0,1,5,0,5,0,0,6,0,0,30,3,0,1,0,0,0,0,0,0,0,0.461713156154748,0.538286843845248,0,0,1
1,0,1,1,0,1,7,0,7,30,0,7,0,0,18,3,0,2,0,0,0,0,2,0,0,0.538286868642716,0.461713131357272,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,143,6,0,1,5,8,1,0,29,0,0,0.036918401866793,0.963081598133206,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,0,1,0,0,0,1,0,0,0,0.31303501566435,0.68696498433566,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,9,0,2,0,0,0,0,0,0,0,0.045738733543083,0.954261266456913,0,0,1
1,0,1,1,0,1,10,0,10,13,0,15,0,0,32,3,0,1,0,0,0,0,0,0,0,0.493453350402713,0.506546649597291,1,3,1
1,0,1,0,0,0,7,0,7,0,0,0,0,0,61,4,0,3,1,0,0,0,3,6001,2145,0.349558880763193,0.650441119236804,1,1,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,79,3,0,3,4,0,0,0,3,6001,2145,0.261774954557637,0.738225045442366,0,0,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,47,3,0,3,0,0,0,0,4,6001,2145,0.401147649839088,0.59885235016092,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0,1,0,0,0,0,4,0,0,0.409390682418506,0.590609317581506,0,0,1
1,0,1,1,0,1,2,0,2,5,0,4,0,0,34,3,0,2,0,0,0,0,7,6001,2145,0.443060450677352,0.556939549322652,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,7,0,1,0,0,0,0,17,0,0,0.252917534837655,0.747082465162338,0,0,1
1,0,1,1,0,1,6,0,6,8,0,76,0,0,229,5,1,2,0,1,3,2,108,0,0,0.000389707993582,0.999610292006408,1,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,6,0,2,0,0,0,0,4,0,0,0.314581734135553,0.685418265864439,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,1,0,0,0,0,0,0,0.45690644585614,0.543093554143861,0,0,1
1,0,1,0,0,0,2,0,2,0,0,0,0,0,40,4,0,2,0,0,0,0,0,0,0,0.417968060127915,0.582031939872088,0,0,1
1,0,1,0,0,0,2,0,2,0,0,0,0,0,39,5,0,2,0,0,0,0,1,0,0,0.420468292273876,0.579531707726139,1,1,1
1,0,1,1,1,1,46,0,46,10,1,88,0,0,32,4,0,2,0,0,0,0,0,2256644,13134,0.058291631445641,0.941708368554367,1,4,1
1,1,1,1,0,1,5,1,5,5,0,15,0,0,72,5,0,1,0,0,0,0,16,0,0,0.295749676362087,0.704250323637925,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,2,0,0,0,0,5,0,0,0.418825029813965,0.581174970186042,0,0,1
1,0,1,1,0,1,13,0,13,7,0,2,0,0,39,3,0,2,1,0,0,0,0,0,0,0.465326377272006,0.534673622728007,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,17,3,0,1,0,0,0,0,0,987236,0,0.3142214863531,0.685778513646903,0,0,1
